symptom_name,total_degree,start_date
계산능력 저하,12,2023-08-30
계산능력 저하,15,2023-09-06
계산능력 저하,1,2023-09-13
계산능력 저하,5,2023-09-20
기억장애,13,2023-08-30
기억장애,13,2023-09-06
기억장애,3,2023-09-13
기억장애,10,2023-09-20
배회,12,2023-08-30
배회,10,2023-09-06
배회,4,2023-09-13
배회,5,2023-09-20
성격 및 감정의 변화,11,2023-08-30
성격 및 감정의 변화,12,2023-09-06
성격 및 감정의 변화,4,2023-09-13
성격 및 감정의 변화,6,2023-09-20
언어장애,9,2023-08-30
언어장애,15,2023-09-06
언어장애,2,2023-09-13
언어장애,6,2023-09-20
이상행동,12,2023-08-30
이상행동,8,2023-09-06
이상행동,6,2023-09-13
이상행동,7,2023-09-20
